,City,Country,Date_Checked,Latitude,Longitude,Temp(K),MaxTemp(K),Humidity(%),Cloudiness(%),Wind_Speed(meter/sec),Temp(F),MaxTemp(F),Wind_Speed(mph)
289,Piaseczno,PL,1553631800.0,52.07,21.03,273.89,275.37,71.0,0.0,5.1,33,36,11
290,Luziania,BR,1553630400.0,-16.25,-47.95,296.15,296.15,88.0,75.0,3.1,73,73,7
291,Masallatah,LY,1553631812.0,32.62,14.0,283.588,283.588,82.0,0.0,1.16,51,51,3
292,Teguise,ES,1553630400.0,29.06,-13.56,291.15,291.15,77.0,20.0,3.1,64,64,7
293,Antofagasta,CL,1553626800.0,-23.65,-70.4,294.15,294.15,60.0,0.0,6.7,70,70,15
294,Oktyabrskoye,RU,1553631627.0,56.73,85.44,269.79,271.48,63.0,0.0,1.0,26,29,2
295,North Myrtle Beach,US,1553631798.0,33.83,-78.68,287.76,289.82,58.0,20.0,4.6,58,62,10
296,Singaraja,ID,1553631813.0,-8.11,115.08,295.688,295.688,100.0,92.0,0.06,73,73,0
297,Rivera,UY,1553631813.0,-30.9,-55.54,292.688,292.688,73.0,12.0,4.46,67,67,10
298,Zelenchukskaya,RU,1553631813.0,43.85,41.59,265.888,265.888,77.0,0.0,1.21,19,19,3
299,Diu,IN,1553631813.0,20.71,70.98,295.488,295.488,34.0,0.0,2.61,72,72,6
300,Yumen,CN,1553631813.0,40.29,97.04,277.088,277.088,61.0,68.0,6.61,39,39,15
301,Payo,ID,1553631814.0,-3.75,103.64,295.938,295.938,96.0,76.0,2.06,73,73,5
302,Tabora,TZ,1553631814.0,-5.02,32.81,292.238,292.238,90.0,64.0,2.41,66,66,5
303,Bethel,US,1553630160.0,60.79,-161.76,275.32,276.15,86.0,1.0,6.7,36,37,15
304,Ballina,IE,1553631724.0,54.11,-9.15,281.73,282.59,70.0,75.0,3.1,47,49,7
305,Naze,NG,1553626800.0,5.43,7.07,297.15,297.15,94.0,75.0,2.1,75,75,5
306,Tessalit,ML,1553631814.0,20.2,1.01,301.938,301.938,21.0,92.0,3.21,84,84,7
307,Nurota,UZ,1553628600.0,40.56,65.69,287.15,287.15,93.0,90.0,2.1,57,57,5
308,Bluefield,US,1553631803.0,37.27,-81.22,282.39,287.04,31.0,1.0,3.1,49,57,7
309,Gympie,AU,1553631646.0,-26.2,152.66,295.94,297.04,94.0,92.0,0.45,73,75,1
310,Jalu,LY,1553631815.0,29.03,21.55,287.938,287.938,32.0,0.0,3.26,59,59,7
311,Sangar,RU,1553631815.0,63.92,127.47,249.488,249.488,69.0,0.0,0.66,-11,-11,1
312,Santa Cruz,US,1553631749.0,36.97,-122.03,290.51,293.71,67.0,90.0,1.41,63,69,3
315,Aranos,NA,1553631815.0,-24.14,19.11,298.438,298.438,26.0,88.0,1.41,78,78,3
317,Meadow Lake,CA,1553626800.0,54.13,-108.44,276.15,276.15,86.0,90.0,2.6,37,37,6
318,Touros,BR,1553630400.0,-5.2,-35.46,301.15,301.15,83.0,75.0,3.1,82,82,7
320,Nador,MA,1553630400.0,35.17,-2.93,288.13,289.15,67.0,88.0,8.2,59,61,18
321,Catuday,PH,1553631816.0,16.29,119.81,298.438,298.438,90.0,0.0,5.71,78,78,13
322,Sao Jose da Coroa Grande,BR,1553631816.0,-8.9,-35.15,300.238,300.238,88.0,76.0,3.61,81,81,8
324,Aleppo,SY,1553631816.0,36.2,37.17,281.738,281.738,75.0,0.0,3.36,47,47,8
325,Weligama,LK,1553631817.0,5.97,80.42,298.738,298.738,97.0,0.0,3.26,78,78,7
326,Iisaku,EE,1553631817.0,59.1,27.31,271.238,271.238,82.0,0.0,6.21,29,29,14
327,Beloye,RU,1553631652.0,45.05,39.65,279.03,279.82,75.0,0.0,2.0,43,44,4
328,Katangli,RU,1553631817.0,51.71,143.23,264.238,264.238,87.0,48.0,3.91,16,16,9
329,Mukhen,RU,1553631817.0,48.19,136.14,263.738,263.738,78.0,88.0,0.96,15,15,2
331,Bandarbeyla,SO,1553631734.0,9.49,50.81,299.938,299.938,100.0,92.0,2.16,80,80,5
332,Timizart,DZ,1553631321.0,36.8,4.25,286.48,286.48,82.0,76.0,0.89,56,56,2
333,Isla Mujeres,MX,1553629620.0,21.23,-86.73,302.15,302.15,54.0,40.0,4.6,84,84,10
334,Zabol,IR,1553630400.0,31.03,61.49,296.15,296.15,38.0,88.0,4.1,73,73,9
335,Pisco,PE,1553630400.0,-13.71,-76.2,295.15,295.15,30.0,0.0,7.7,72,72,17
336,Soller,DE,1553631813.0,50.73,6.56,280.25,282.59,70.0,20.0,2.1,45,49,5
337,Namibe,AO,1553631733.0,-15.19,12.15,298.088,298.088,100.0,44.0,2.56,77,77,6
338,Luganville,VU,1553631818.0,-15.51,167.18,300.138,300.138,100.0,80.0,6.36,81,81,14
339,Corum,TR,1553626200.0,38.8,29.89,282.15,282.15,42.0,75.0,3.6,48,48,8
340,Port-Gentil,GA,1553630400.0,-0.72,8.78,301.15,301.15,88.0,20.0,3.6,82,82,8
341,Pontianak,ID,1553631819.0,-0.02,109.34,298.588,298.588,98.0,76.0,1.96,78,78,4
342,Pacifica,US,1553631804.0,37.61,-122.49,289.45,291.48,67.0,1.0,2.6,61,65,6
343,Haverfordwest,GB,1553631603.0,51.8,-4.97,280.02,282.04,87.0,0.0,2.1,44,48,5
344,Orsha,BY,1553631819.0,54.51,30.43,268.138,268.138,79.0,24.0,1.31,23,23,3
345,Hrinova,SK,1553630400.0,48.58,19.53,279.15,279.15,48.0,0.0,6.2,43,43,14
346,Geraldton,CA,1553626800.0,49.72,-86.95,276.15,276.15,25.0,75.0,5.7,37,37,13
347,Wajima,JP,1553631820.0,37.4,136.9,276.638,276.638,93.0,0.0,3.06,38,38,7
348,Praia,BR,1553626800.0,-20.25,-43.81,301.44,302.15,45.0,40.0,2.66,83,84,6
349,Killybegs,IE,1553631724.0,54.63,-8.45,281.75,282.15,87.0,90.0,4.1,47,48,9
350,Camopi,GF,1553631820.0,3.17,-52.33,300.188,300.188,82.0,88.0,1.51,81,81,3
352,Sri Aman,MY,1553626800.0,1.24,111.46,297.15,297.15,94.0,0.0,1.5,75,75,3
353,Cockburn Town,TC,1553631766.0,21.46,-71.14,298.588,298.588,100.0,56.0,3.91,78,78,9
354,Coihaique,CL,1553630400.0,-45.58,-72.07,293.49,295.15,42.0,0.0,2.6,69,72,6
355,Maracaju,BR,1553631665.0,-21.61,-55.17,302.988,302.988,54.0,0.0,2.66,86,86,6
356,Marsaxlokk,MT,1553631612.0,35.84,14.54,286.28,287.04,81.0,0.0,1.0,56,57,2
357,Hirara,JP,1553631821.0,24.8,125.28,294.888,294.888,100.0,0.0,6.26,71,71,14
358,Dudinka,RU,1553631821.0,69.41,86.18,271.188,271.188,88.0,92.0,10.66,28,28,24
361,Knysna,ZA,1553626800.0,-34.04,23.05,289.15,289.15,77.0,48.0,5.7,61,61,13
362,Grindavik,IS,1553631282.0,63.84,-22.43,276.68,277.59,69.0,75.0,6.2,38,40,14
363,San Carlos de Bariloche,AR,1553630400.0,-41.13,-71.31,294.15,294.15,19.0,0.0,5.7,70,70,13
364,Steubenville,US,1553631820.0,40.37,-80.63,280.61,282.04,26.0,1.0,4.1,45,48,9
365,Methoni,GR,1553631630.0,36.82,21.7,286.5,287.59,81.0,20.0,2.1,56,58,5
366,Gazli,UZ,1553631822.0,40.13,63.45,287.488,287.488,95.0,92.0,2.96,58,58,7
367,Puerto Madryn,AR,1553631822.0,-42.77,-65.04,291.838,291.838,66.0,0.0,9.51,66,66,21
368,Hofn,IS,1553631698.0,64.25,-15.21,277.788,277.788,92.0,0.0,5.91,40,40,13
369,Moussoro,TD,1553631823.0,13.64,16.49,300.338,300.338,17.0,0.0,5.71,81,81,13
370,Cherskiy,RU,1553631823.0,68.75,161.3,260.438,260.438,75.0,80.0,6.61,9,9,15
371,Chenghai,CN,1553626800.0,23.46,116.77,291.15,291.15,93.0,75.0,2.0,64,64,4
372,Ayan,TR,1553631823.0,40.67,33.6,269.438,269.438,66.0,12.0,0.91,25,25,2
373,Gondanglegi,ID,1553631823.0,-7.75,112.01,294.738,294.738,93.0,12.0,1.16,71,71,3
374,Sukumo,JP,1553631823.0,32.94,132.72,280.638,280.638,78.0,0.0,1.11,45,45,2
375,Qasigiannguit,GL,1553629800.0,68.82,-51.19,262.15,262.15,85.0,90.0,4.1,12,12,9
376,Mariental,DE,1553631806.0,52.28,10.99,279.57,279.82,87.0,90.0,4.6,44,44,10
377,Panjakent,UZ,1553628600.0,39.5,67.61,288.15,288.15,67.0,75.0,2.1,59,59,5
378,Ariquemes,BR,1553631824.0,-9.91,-63.03,298.088,298.088,93.0,80.0,0.91,77,77,2
379,Krasnoturansk,RU,1553628600.0,54.32,91.57,265.15,265.15,92.0,0.0,1.0,18,18,2
380,Nizhnevartovsk,RU,1553628600.0,60.93,76.58,275.15,275.15,69.0,40.0,7.0,36,36,16
381,Crestview,US,1553631640.0,30.76,-86.57,291.35,295.37,52.0,90.0,6.2,65,72,14
382,Leningradskiy,RU,1553631743.0,69.38,178.42,271.338,271.338,91.0,76.0,10.76,29,29,24
383,Tongling,CN,1553631825.0,30.93,117.81,284.788,284.788,86.0,20.0,2.66,53,53,6
384,Verkhnevilyuysk,RU,1553631825.0,63.45,120.31,254.388,254.388,69.0,0.0,2.96,-2,-2,7
385,Kadyy,RU,1553631825.0,57.79,43.19,273.438,273.438,96.0,88.0,3.56,33,33,8
386,Matagami,NG,1553631826.0,9.67,8.4,294.988,294.988,36.0,12.0,2.41,71,71,5
387,Ciudad Bolivar,VE,1553631826.0,8.12,-63.55,309.788,309.788,27.0,0.0,4.86,98,98,11
388,Isangel,VU,1553631720.0,-19.55,169.27,299.238,299.238,100.0,76.0,8.96,79,79,20
391,Novichikha,RU,1553631826.0,52.2,81.39,261.588,261.588,57.0,20.0,1.26,11,11,3
392,Bonnyville,CA,1553629440.0,54.27,-110.74,275.15,275.15,93.0,90.0,1.96,36,36,4
393,Marzuq,YE,1553631827.0,14.4,46.47,284.738,284.738,89.0,0.0,1.11,53,53,2
396,Oriximina,BR,1553631827.0,-1.77,-55.87,302.888,302.888,70.0,100.0,2.06,86,86,5
397,Trat,TH,1553631303.0,12.25,102.51,303.15,303.15,63.0,24.0,1.76,86,86,4
398,Mansa,IN,1553628600.0,23.43,72.66,299.15,299.15,31.0,0.0,1.21,79,79,3
399,Cidreira,BR,1553631671.0,-30.17,-50.22,294.238,294.238,75.0,92.0,4.26,70,70,10
402,Omsukchan,RU,1553631828.0,62.53,155.8,254.338,254.338,62.0,56.0,6.16,-2,-2,14
403,Le Port,FR,1553631612.0,42.87,1.37,279.1,280.37,25.0,0.0,1.79,43,45,4
404,Korhogo,CI,1553631828.0,9.46,-5.63,299.788,299.788,74.0,48.0,1.96,80,80,4
405,Sembakung,ID,1553631727.0,3.82,117.25,296.988,296.988,98.0,20.0,0.96,75,75,2
406,Quatre Cocos,MU,1553631546.0,-20.21,57.76,299.03,300.15,83.0,40.0,0.5,79,81,1
408,Peru,US,1553631696.0,41.33,-89.13,282.07,283.15,22.0,1.0,3.1,48,50,7
409,Rangpur,BD,1553631828.0,25.76,89.24,289.138,289.138,93.0,0.0,1.16,61,61,3
410,Asyut,EG,1553626800.0,27.18,31.19,291.15,291.15,36.0,0.0,3.6,64,64,8
411,Karla,EE,1553631725.0,59.37,24.93,272.51,274.15,50.0,0.0,2.6,31,34,6
412,Gilgit,PK,1553631829.0,35.92,74.31,266.338,266.338,95.0,12.0,0.16,20,20,0
413,Mombetsu,JP,1553631665.0,44.35,143.35,273.15,273.15,76.0,0.0,4.47,32,32,10
414,Ko Samui,TH,1553631829.0,9.54,99.94,302.438,302.438,100.0,88.0,6.71,85,85,15
416,Vila,IT,1553631826.0,45.18,8.4,282.24,285.37,34.0,0.0,2.1,48,54,5
417,Vestmannaeyjar,IS,1553631714.0,63.44,-20.27,277.838,277.838,85.0,92.0,5.56,40,40,12
418,La Orilla,MX,1553631830.0,18.0,-102.23,302.238,302.238,58.0,0.0,3.11,84,84,7
419,Aklavik,CA,1553626800.0,68.22,-135.01,273.26,275.15,69.0,20.0,3.1,32,36,7
421,Iqaluit,CA,1553626800.0,63.75,-68.52,257.15,257.15,65.0,75.0,6.7,3,3,15
422,Khani,GE,1553628600.0,41.96,42.96,278.15,278.15,86.0,40.0,1.0,41,41,2
423,Son La,VN,1553631807.0,21.32,103.9,290.688,290.688,95.0,48.0,0.71,64,64,2
424,Laurel,US,1553631601.0,45.67,-108.77,290.76,293.71,25.0,75.0,7.7,64,69,17
425,Adrar,DZ,1553626800.0,27.87,-0.29,296.15,296.15,56.0,75.0,5.1,73,73,11
426,Tuatapere,NZ,1553631605.0,-46.13,167.69,285.37,285.37,91.0,56.0,5.36,54,54,12
427,Buala,SB,1553631831.0,-8.15,159.59,301.038,301.038,93.0,76.0,2.36,82,82,5
428,Uvalde,US,1553631826.0,29.21,-99.79,298.93,300.15,47.0,1.0,6.2,78,81,14
429,Hede,SE,1553631604.0,60.45,15.49,272.45,273.71,62.0,68.0,2.1,31,33,5
430,Mareeba,AU,1553631794.0,-16.99,145.42,296.73,298.15,94.0,90.0,2.6,74,77,6
431,Whitehorse,CA,1553631356.0,60.72,-135.06,277.8,278.15,60.0,75.0,3.6,40,41,8
432,Bahile,PH,1553631832.0,10.0,118.79,299.838,299.838,100.0,48.0,6.81,80,80,15
433,Vrangel,RU,1553631832.0,42.73,133.08,273.588,273.588,100.0,12.0,5.91,33,33,13
434,Bella Union,CO,1553631832.0,8.5,-73.35,302.738,302.738,43.0,48.0,0.71,85,85,2
436,Kushima,JP,1553631832.0,31.5,131.29,279.888,279.888,100.0,0.0,2.06,44,44,5
437,Phonhong,LA,1553631833.0,18.5,102.42,296.638,296.638,92.0,44.0,1.66,74,74,4
438,Fort Nelson,CA,1553626800.0,58.81,-122.69,278.15,278.15,56.0,75.0,1.0,41,41,2
439,Qeshm,IR,1553630400.0,26.96,56.27,295.66,296.15,88.0,75.0,2.1,73,73,5
440,Cabedelo,BR,1553630400.0,-6.97,-34.84,297.15,297.15,94.0,75.0,3.1,75,75,7
441,Mackay,CA,1553627520.0,53.65,-115.58,275.6,276.15,100.0,90.0,2.6,36,37,6
442,Hit,IQ,1553631833.0,33.64,42.83,281.088,281.088,83.0,48.0,1.41,46,46,3
443,Nizhniy Kuranakh,RU,1553631833.0,58.84,125.49,259.388,259.388,72.0,76.0,1.81,7,7,4
444,Hami,CN,1553631697.0,42.84,93.51,279.388,279.388,68.0,80.0,0.41,43,43,1
446,Grande Prairie,CA,1553626800.0,55.17,-118.79,277.15,277.15,86.0,75.0,2.1,39,39,5
447,Basoko,CD,1553631834.0,1.23,23.61,297.738,297.738,89.0,24.0,0.76,76,76,2
448,Anjad,IN,1553631834.0,22.04,75.06,291.638,291.638,46.0,0.0,1.61,65,65,4
449,Palotina,BR,1553631594.0,-24.28,-53.84,300.738,300.738,69.0,12.0,3.21,82,82,7
450,Yulara,AU,1553626800.0,-25.24,130.99,289.15,289.15,44.0,0.0,3.1,61,61,7
451,Munchberg,DE,1553631725.0,50.2,11.78,276.63,279.26,65.0,90.0,4.1,38,43,9
452,Slave Lake,CA,1553629560.0,55.28,-114.77,273.15,273.15,65.0,20.0,2.1,32,32,5
453,Kaka,TM,1553631835.0,37.35,59.62,279.788,279.788,97.0,92.0,1.06,44,44,2
454,Mahebourg,MU,1553631546.0,-20.41,57.7,298.93,300.15,83.0,40.0,0.5,78,81,1
455,Inuvik,CA,1553626800.0,68.36,-133.71,273.92,275.15,100.0,20.0,2.66,33,36,6
456,Majholi,IN,1553631835.0,23.5,79.93,289.738,289.738,48.0,0.0,2.46,62,62,6
457,Kiunga,PG,1553631835.0,-6.12,141.3,296.588,296.588,95.0,48.0,0.96,74,74,2
458,Ortakoy,TR,1553629800.0,38.74,34.04,277.15,277.15,48.0,0.0,0.96,39,39,2
459,Richards Bay,ZA,1553631835.0,-28.77,32.06,293.438,293.438,90.0,92.0,2.56,69,69,6
460,Kupino,RU,1553631836.0,54.36,77.31,272.638,272.638,87.0,80.0,6.36,31,31,14
461,College,US,1553631723.0,64.86,-147.8,277.57,279.26,86.0,90.0,3.1,40,43,7
462,Kysyl-Syr,RU,1553631791.0,63.9,122.77,252.938,252.938,65.0,0.0,3.01,-4,-4,7
463,Mogzon,RU,1553631836.0,51.74,111.97,256.988,256.988,50.0,0.0,2.06,3,3,5
464,Mirnyy,RU,1553631836.0,56.57,36.46,267.638,267.638,78.0,0.0,4.26,22,22,10
465,Biak,ID,1553631836.0,-0.91,122.88,299.738,299.738,94.0,88.0,1.26,80,80,3
466,Imeni Poliny Osipenko,RU,1553631836.0,52.42,136.49,257.638,257.638,78.0,56.0,1.31,4,4,3
467,Port Hardy,CA,1553628180.0,50.7,-127.42,282.15,282.15,81.0,90.0,3.6,48,48,8
468,Kokkola,FI,1553631822.0,63.84,23.13,266.28,268.15,92.0,0.0,2.1,20,23,5
469,Sai Buri,TH,1553631837.0,6.7,101.62,299.088,299.088,84.0,64.0,2.51,79,79,6
471,La Rinconada,PE,1553631837.0,-14.63,-69.45,280.688,280.688,91.0,88.0,1.76,46,46,4
472,Saint Paul,US,1553631831.0,44.95,-93.1,282.9,284.26,43.0,1.0,3.6,50,52,8
473,Kailua,US,1553631450.0,21.39,-157.74,297.38,299.15,73.0,40.0,4.1,76,79,9
474,Cabo San Lucas,MX,1553631389.0,22.89,-109.91,298.58,300.93,36.0,40.0,2.1,78,82,5
475,Villanueva de la Serena,ES,1553631574.0,38.97,-5.8,292.59,292.59,27.0,0.0,4.02,67,67,9
476,Saldanha,PT,1553631838.0,41.42,-6.55,285.938,285.938,29.0,0.0,7.71,55,55,17
478,Dingle,PH,1553631765.0,11.0,122.67,297.238,297.238,91.0,44.0,3.91,75,75,9
479,Lagoa,PT,1553631429.0,37.14,-8.45,289.99,291.15,59.0,40.0,5.7,62,64,13
480,Abu Samrah,SY,1553631838.0,35.3,37.18,282.088,282.088,72.0,32.0,4.36,48,48,10
481,Japura,ID,1553631838.0,-0.42,102.29,295.688,295.688,97.0,88.0,0.56,73,73,1
482,Manta,RO,1553631839.0,45.1,24.1,272.788,272.788,86.0,0.0,0.96,31,31,2
483,Edd,ER,1553631839.0,13.93,41.69,295.438,295.438,79.0,0.0,1.16,72,72,3
484,Namatanai,PG,1553631839.0,-3.66,152.44,300.688,300.688,100.0,56.0,5.21,82,82,12
485,Sakaiminato,JP,1553631496.0,35.55,133.23,275.64,277.15,86.0,20.0,3.1,36,39,7
486,North Bend,US,1553631617.0,43.41,-124.22,286.92,288.15,47.0,20.0,2.6,57,59,6
487,Kisangani,CD,1553631839.0,0.52,25.21,298.338,298.338,89.0,24.0,0.86,77,77,2
488,Batsfjord,NO,1553629800.0,70.63,29.72,268.64,270.15,79.0,75.0,6.2,24,27,14
489,Huambo,AO,1553631840.0,-12.78,15.73,289.538,289.538,88.0,12.0,1.06,61,61,2
490,Leeton,AU,1553626800.0,-34.55,146.4,281.91,284.15,87.0,0.0,1.26,48,52,3
492,Zhigansk,RU,1553631840.0,66.77,123.37,251.288,251.288,61.0,0.0,3.21,-7,-7,7
493,Smithers,CA,1553626800.0,54.78,-127.17,277.15,277.15,55.0,40.0,1.5,39,39,3
494,Arman,RU,1553631807.0,59.7,150.17,261.088,261.088,63.0,64.0,2.76,10,10,6
496,The Valley,AI,1553631385.0,18.22,-63.06,300.8,301.48,65.0,20.0,7.2,82,83,16
497,Shache,CN,1553631841.0,38.42,77.24,274.938,274.938,77.0,8.0,1.16,35,35,3
498,Kharp,RU,1553631841.0,66.82,65.8,272.488,272.488,92.0,88.0,6.96,31,31,16
499,Bonavista,CA,1553631356.0,48.65,-53.11,270.93,270.93,58.0,0.0,2.24,28,28,5
500,Krasnyy Luch,RU,1553628600.0,55.97,38.97,275.15,275.15,69.0,40.0,4.0,36,36,9
501,Brownfield,US,1553631458.0,33.18,-102.27,293.45,295.93,48.0,20.0,6.7,69,73,15
502,El Dorado,VE,1553631842.0,6.71,-61.64,307.688,307.688,34.0,8.0,1.86,94,94,4
503,Pansoy,PH,1553631842.0,13.18,122.6,299.838,299.838,100.0,0.0,7.96,80,80,18
505,Terney,RU,1553631750.0,45.05,136.61,272.088,272.088,87.0,0.0,8.26,30,30,18
506,Bilma,NE,1553631767.0,18.69,12.92,295.488,295.488,14.0,0.0,4.61,72,72,10
507,Tateyama,JP,1553631605.0,36.66,137.31,276.46,279.82,63.0,0.0,5.81,38,44,13
508,Naryan-Mar,RU,1553631748.0,67.67,53.09,270.738,270.738,90.0,80.0,7.01,28,28,16
509,Sibolga,ID,1553631842.0,1.74,98.78,294.038,294.038,100.0,80.0,0.61,70,70,1
510,Havre-Saint-Pierre,CA,1553626800.0,50.23,-63.6,263.15,263.15,56.0,75.0,11.3,14,14,25
511,Kutum,SD,1553631842.0,14.2,24.66,292.138,292.138,25.0,0.0,4.31,66,66,10
512,Brae,GB,1553629800.0,60.4,-1.35,281.72,282.15,87.0,92.0,5.1,47,48,11
513,Sibenik,HR,1553631843.0,45.81,17.18,277.138,277.138,61.0,0.0,2.16,39,39,5
514,Komsomolskiy,RU,1553631746.0,67.55,63.78,270.988,270.988,92.0,88.0,6.21,28,28,14
515,Lermontovka,RU,1553631843.0,47.15,134.34,268.738,268.738,61.0,88.0,3.76,24,24,8
516,Sao Miguel do Araguaia,BR,1553631809.0,-13.28,-50.16,296.938,296.938,94.0,88.0,2.61,75,75,6
517,Umm Lajj,SA,1553631843.0,25.02,37.27,288.438,288.438,100.0,0.0,2.61,60,60,6
518,Lakki Marwat,PK,1553631843.0,32.61,70.91,289.088,289.088,57.0,48.0,1.11,61,61,2
519,Saint Anthony,US,1553631639.0,43.97,-111.68,286.85,289.82,28.0,1.0,5.1,57,62,11
520,Lasa,CY,1553631329.0,34.92,32.53,284.13,286.15,76.0,20.0,4.1,52,55,9
521,Tolmachevo,RU,1553630751.0,55.36,38.22,274.16,275.15,74.0,40.0,6.0,34,36,13
522,Lianzhou,CN,1553631844.0,24.79,112.38,290.638,290.638,97.0,92.0,1.06,63,63,2
524,Nabire,ID,1553631844.0,-3.36,135.5,292.588,292.588,98.0,92.0,0.66,67,67,1
526,Chimbarongo,CL,1553630400.0,-34.71,-71.04,302.07,303.15,25.0,0.0,1.5,84,86,3
527,Dicabisagan,PH,1553631845.0,17.08,122.42,296.088,296.088,100.0,100.0,2.71,73,73,6
528,Lachi,PK,1553631845.0,33.38,71.34,285.688,285.688,64.0,24.0,1.51,55,55,3
529,Murgab,TM,1553626800.0,37.5,61.97,284.15,284.15,93.0,75.0,2.1,52,52,5
530,Lompoc,US,1553631710.0,34.64,-120.46,292.0,293.71,68.0,75.0,4.1,66,69,9
531,Goderich,CA,1553631821.0,43.74,-81.71,275.58,278.15,73.0,0.0,3.46,36,41,8
532,Eunice,US,1553631581.0,30.49,-92.42,294.46,296.15,42.0,1.0,7.2,70,73,16
533,Zarubino,RU,1553631846.0,42.65,131.06,270.888,270.888,100.0,56.0,1.96,28,28,4
534,Simao,CN,1553631846.0,22.76,100.79,287.438,287.438,81.0,0.0,1.01,58,58,2
536,Dalbandin,PK,1553631846.0,28.9,64.41,291.488,291.488,53.0,88.0,2.66,65,65,6
537,Trairi,BR,1553631846.0,-3.28,-39.27,301.688,301.688,100.0,24.0,3.21,83,83,7
538,Camacupa,AO,1553631847.0,-12.02,17.48,291.538,291.538,88.0,36.0,0.96,65,65,2
539,Cayenne,GF,1553628600.0,4.94,-52.33,303.15,303.15,58.0,0.0,5.7,86,86,13
540,Camacari,BR,1553630400.0,-12.7,-38.32,303.15,303.15,79.0,20.0,5.7,86,86,13
541,Bekhtery,UA,1553628600.0,46.25,32.3,280.15,280.15,87.0,75.0,3.0,45,45,7
543,Shwebo,MM,1553631765.0,22.57,95.7,293.088,293.088,88.0,24.0,2.76,68,68,6
544,Manga,BF,1553631847.0,11.67,-1.07,303.038,303.038,50.0,92.0,0.61,86,86,1
545,Dukat,RS,1553631722.0,42.44,22.31,277.59,277.59,60.0,32.0,0.45,40,40,1
546,San Cristobal,EC,1553630476.0,-0.39,-78.55,293.52,296.15,56.0,40.0,8.7,69,73,19
548,Acapulco,MX,1553629200.0,16.86,-99.88,303.15,303.15,74.0,5.0,2.6,86,86,6
549,Kalmunai,LK,1553631848.0,7.42,81.82,293.138,293.138,97.0,0.0,1.16,68,68,3
550,Tecoanapa,MX,1553629200.0,16.99,-99.26,303.15,303.15,74.0,5.0,2.6,86,86,6
551,Zambrano,CO,1553631849.0,9.74,-74.82,305.238,305.238,61.0,32.0,2.11,90,90,5
552,Ous,RU,1553631802.0,60.91,61.52,274.138,274.138,68.0,20.0,4.21,34,34,9
553,Tiznit,MA,1553631754.0,29.7,-9.73,288.488,288.488,98.0,100.0,2.06,60,60,5
556,Klamath Falls,US,1553631724.0,42.22,-121.78,281.81,283.71,56.0,75.0,6.7,48,51,15
557,Saint-Joseph,FR,1553631647.0,43.56,6.97,281.69,285.37,33.0,0.0,0.5,47,54,1
558,Crotone,IT,1553626200.0,39.09,17.12,285.15,285.15,81.0,0.0,5.1,54,54,11
559,Sisak,HR,1553631602.0,45.49,16.38,279.16,280.37,64.0,0.0,0.5,43,45,1
560,Antalaha,MG,1553631850.0,-14.9,50.28,299.788,299.788,93.0,8.0,1.86,80,80,4
561,Petropavlovsk-Kamchatskiy,RU,1553628600.0,53.05,158.65,269.15,269.15,53.0,0.0,7.0,25,25,16
562,Lebyazhye,RU,1553631849.0,59.96,29.42,270.92,272.15,86.0,75.0,5.0,28,30,11
563,Aykhal,RU,1553631850.0,65.95,111.51,257.238,257.238,52.0,68.0,1.96,3,3,4
564,Jumla,NP,1553631850.0,29.28,82.18,267.088,267.088,61.0,0.0,1.16,21,21,3
565,Beira,ES,1553631848.0,43.2,-8.36,285.31,289.26,58.0,0.0,2.6,54,61,6
566,Ipixuna,BR,1553631850.0,-1.76,-48.8,299.488,299.488,89.0,80.0,0.96,79,79,2
567,Obera,AR,1553631851.0,-27.49,-55.12,295.388,295.388,61.0,64.0,1.76,72,72,4
568,Feira de Santana,BR,1553631851.0,-12.26,-38.96,298.938,298.938,83.0,68.0,3.96,78,78,9
570,Ravar,IR,1553631851.0,31.27,56.81,292.588,292.588,38.0,36.0,5.21,67,67,12
572,Kavaratti,IN,1553631851.0,10.57,72.64,301.838,301.838,100.0,0.0,3.86,84,84,9
573,Bobcaygeon,CA,1553631606.0,44.54,-78.55,276.34,277.04,23.0,1.0,4.1,38,39,9
574,Bathsheba,BB,1553630400.0,13.22,-59.52,301.15,301.15,61.0,20.0,9.8,82,82,22
575,Tiarei,PF,1553630400.0,-17.53,-149.33,303.15,303.15,66.0,75.0,1.5,86,86,3
576,Shimoda,JP,1553631187.0,34.7,138.93,277.59,277.59,88.0,0.0,4.51,40,40,10
577,Biskamzha,RU,1553631852.0,53.45,89.53,258.688,258.688,66.0,0.0,0.91,6,6,2
578,Shenjiamen,CN,1553631852.0,29.96,122.3,286.088,286.088,89.0,92.0,7.01,55,55,16
579,Seoul,KR,1553631000.0,37.57,126.98,280.73,284.15,80.0,90.0,1.5,46,52,3
580,Bintulu,MY,1553626800.0,3.17,113.03,298.15,298.15,94.0,75.0,1.16,77,77,3
581,Xinzhi,TW,1553630400.0,22.54,120.62,294.52,296.15,83.0,40.0,1.5,70,73,3
582,Faya,SA,1553630400.0,18.39,42.45,289.18,290.15,72.0,0.0,3.6,61,63,8
583,Zlynka,RU,1553626800.0,52.43,31.74,274.15,274.15,69.0,0.0,2.0,34,34,4
584,Sibiti,CG,1553631853.0,-3.69,13.35,298.588,298.588,82.0,20.0,1.86,78,78,4
585,Priargunsk,RU,1553631853.0,50.37,119.09,255.788,255.788,48.0,0.0,2.71,1,1,6
